Tỉnh	Vị trí	Nhiệt độ	Độ ẩm	Tốc độ gió	Áp suất	Ngày giờ	VN_AQI	CO	NO2	O3	PM-10	PM-2-5	SO2
Bắc Ninh	('21.1527453', '106.111371')	31.06	62	2.97	1004	04/07/2021 07:00	88	1	10	13	54	88	32
Bắc Ninh	('21.1527453', '106.111371')	30.46	61	2.95	1004	04/07/2021 06:00	88	1	6	12	53	88	31
Bắc Ninh	('21.1527453', '106.111371')	29.80	61	3.01	1003	04/07/2021 05:00	87	1	12	13	52	87	31
Bắc Ninh	('21.1527453', '106.111371')	29.36	62	2.31	1002	04/07/2021 04:00	81	1	7	13	51	81	32
Bắc Ninh	('21.1527453', '106.111371')	29.36	61	2.51	1002	04/07/2021 03:00	91	1	13	14	54	91	33
Bắc Ninh	('21.1527453', '106.111371')	29.14	60	4.63	1002	04/07/2021 02:00	89	1	18	13	54	89	33
Bắc Ninh	('21.1527453', '106.111371')	28.14	50	5.50	1002	05/07/2021 14:00	55	1	3	15	55	40	32
Bắc Ninh	('21.1527453', '106.111371')	30.14	52	5.20	1001	05/07/2021 13:00	72	1	8	12	72	53	31
Bắc Ninh	('21.1527453', '106.111371')	31.14	65	2.12	1005	06/07/2021 07:00	90	3	21	7	60	90	38
Bắc Ninh	('21.1527453', '106.111371')	30.14	68	2.65	1004	06/07/2021 06:00	73	2	17	7	54	73	37
Bắc Ninh	('21.1527453', '106.111371')	29.14	72	3.12	1003	06/07/2021 05:00	65	1	25	5	54	65	41
Bắc Ninh	('21.1527453', '106.111371')	28.14	77	3.52	1004	06/07/2021 04:00	79	1	26	6	58	79	37
Bắc Ninh	('21.1527453', '106.111371')	28.14	79	2.15	1005	06/07/2021 03:00	90	2	22	6	59	90	36
Bắc Ninh	('21.1527453', '106.111371')	35.16	57	6.48	1002	06/07/2021 18:00	42	1	4	15	36	42	37
Bắc Ninh	('21.1527453', '106.111371')	34.16	54	6.55	1005	06/07/2021 17:00	53	1	4	15	44	53	39

Bắc Ninh	('21.1527453', '106.111371')	28.16	85	4.10	1006	08/07/2021 06:00	32	1	5	10	16	24	32
Bắc Ninh	('21.1527453', '106.111371')	27.16	88	4.52	1004	08/07/2021 05:00	35	2	9	9	23	35	32
