Tỉnh	Vị trí	Nhiệt độ	Độ ẩm	Tốc độ gió	Áp suất	Ngày giờ	VN_AQI	PM-10	PM-2-5
Cần Thơ	('10.026977', '105.768249')	26.99	88	3.54	1008	04/07/2021 07:00	16	16	14
Cần Thơ	('10.026977', '105.768249')	25.99	90	3.96	1007	04/07/2021 06:00	15	15	12
Cần Thơ	('10.026977', '105.768249')	25.99	94	3.54	1007	04/07/2021 05:00	15	15	13
Cần Thơ	('10.026977', '105.768249')	26.99	95	2.96	1008	04/07/2021 04:00	13	13	12
Cần Thơ	('10.026977', '105.768249')	25.99	95	3.54	1007	04/07/2021 03:00	15	15	15
Cần Thơ	('10.026977', '105.768249')	25.99	96	3.54	1008	04/07/2021 02:00	18	16	18
Cần Thơ	('10.026977', '105.768249')	25.99	96	1.54	1005	05/07/2021 14:00	18	18	13
Cần Thơ	('10.026977', '105.768249')	24.32	90	2.35	1005	05/07/2021 13:00	18	18	10
Cần Thơ	('10.026977', '105.768249')	24.99	99	3.25	1005	06/07/2021 07:00	22	22	17
Cần Thơ	('10.026977', '105.768249')	24.99	98	4.35	1005	06/07/2021 06:00	21	21	17
Cần Thơ	('10.026977', '105.768249')	23.99	97	2.25	1006	06/07/2021 05:00	18	18	14
Cần Thơ	('10.026977', '105.768249')	23.99	95	3.64	1005	06/07/2021 04:00	17	17	13
Cần Thơ	('10.026977', '105.768249')	24.99	100	1.45	1007	06/07/2021 03:00	15	15	13
Cần Thơ	('10.026977', '105.768249')	23.99	96	4.32	1005	06/07/2021 18:00	9	9	7
Cần Thơ	('10.026977', '105.768249')	25.99	92	3.85	1007	06/07/2021 17:00	8	8	6
Cần Thơ	('10.026977', '105.768249')	25.49	92	1.65	1007	08/07/2021 06:00	11	11	7
Cần Thơ	('10.026977', '105.768249')	24.49	94	3.85	1009	08/07/2021 05:00	9	9	6
Cần Thơ	('10.026977', '105.768249')	23.99	96	1.54	1008	08/07/2021 04:00	12	12	9
Cần Thơ	('10.026977', '105.768249')	22.99	97	2.85	1008	08/07/2021 03:00	13	13	10
Cần Thơ	('10.026977', '105.768249')	22.49	99	2.45	1007	08/07/2021 02:00	15	15	12
Cần Thơ	('10.026977', '105.768249')	23.49	100	3.85	1009	08/07/2021 01:00	18	18	15
