Tỉnh	Vị trí	Nhiệt độ	Độ ẩm	Tốc độ gió	Áp suất	Ngày giờ	VN_AQI	CO	NO2	O3	PM-10	PM-2-5	SO2
Ðà Nẵng	('16.074', '108.217')	32	69	1.53	1006	04/07/2021 07:00	38	5	10	6	29	38	31
Ðà Nẵng	('16.074', '108.217')	30	69	1.52	1006	04/07/2021 06:00	32	3	11	6	21	32	30
Ðà Nẵng	('16.074', '108.217')	29	72	1.54	1005	04/07/2021 05:00	29	1	10	6	19	27	29
Ðà Nẵng	('16.074', '108.217')	28	73	1.32	1005	04/07/2021 04:00	31	1	10	8	17	24	31
Ðà Nẵng	('16.074', '108.217')	27	75	1.61	1005	04/07/2021 03:00	29	1	10	8	17	22	29
Ðà Nẵng	('16.074', '108.217')	26	70	1.55	1006	04/07/2021 02:00	30	1	11	8	17	21	30
Ðà Nẵng	('16.074', '108.217')	34	54	1.55	1003	05/07/2021 14:00	32	4	11	29	26	32	28
Ðà Nẵng	('16.074', '108.217')	35	57	2.68	1002	05/07/2021 13:00	33	3	11	30	28	33	32
Ðà Nẵng	('16.074', '108.217')	28	85	4.68	1005	06/07/2021 07:00	50	3	11	10	32	50	30
Ðà Nẵng	('16.074', '108.217')	28	79	3.33	1003	06/07/2021 06:00	59	4	11	8	37	59	29
Ðà Nẵng	('16.074', '108.217')	27	81	4.21	1005	06/07/2021 05:00	60	2	10	9	37	60	28
Ðà Nẵng	('16.074', '108.217')	25	79	3.18	1004	06/07/2021 04:00	65	2	11	10	40	65	28
Ðà Nẵng	('16.074', '108.217')	27	80	2.12	1003	06/07/2021 03:00	41	1	11	11	23	41	28
Ðà Nẵng	('16.074', '108.217')	29	74	0.52	1003	06/07/2021 18:00	28	10	11	13	19	28	27
Ðà Nẵng	('16.074', '108.217')	28	79	1.18	1004	06/07/2021 17:00	30	9	11	14	21	30	26
