Tỉnh	Vị trí	Nhiệt độ	Độ ẩm	Tốc độ gió	Áp suất	Ngày giờ	VN_AQI	CO	NO2	O3	PM-10	PM-2-5	SO2
Gia Lai	('13.998599', '107.996482')	20.41	94	1.14	1010	04/07/2021 07:00	48	5	13	3	38	48	15
Gia Lai	('13.998599', '107.996482')	20.61	94	1.24	1009	04/07/2021 06:00	39	6	13	1	32	39	15
Gia Lai	('13.998599', '107.996482')	19.51	95	1.13	1010	04/07/2021 05:00	36	4	11	1	29	36	15
Gia Lai	('13.998599', '107.996482')	19.1	95	1.24	1009	04/07/2021 04:00	28	2	11	1	21	28	14
Gia Lai	('13.998599', '107.996482')	18.41	96	1.3	1011	04/07/2021 03:00	32	1	7	2	23	32	14
Gia Lai	('13.998599', '107.996482')	18.50	94	1.14	1010	04/07/2021 02:00	44	1	7	2	30	44	14
Gia Lai	('13.998599', '107.996482')	23.50	83	1.50	1007	05/07/2021 14:00	24	3	8	11	24	24	13
Gia Lai	('13.998599', '107.996482')	23.10	88	1.39	1006	05/07/2021 13:00	23	2	4	14	23	23	13
Gia Lai	('13.998599', '107.996482')	21.04	95	2.01	1008	06/07/2021 07:00	15	4	9	8	11	10	15
Gia Lai	('13.998599', '107.996482')	20.10	96	2.12	1008	06/07/2021 06:00	15	1	5	11	7	7	15
Gia Lai	('13.998599', '107.996482')	19.51	96	3.01	1006	06/07/2021 05:00	15	1	3	13	6	6	15
Gia Lai	('13.998599', '107.996482')	19.10	99	2.31	1007	06/07/2021 04:00	15	1	3	14	4	6	15
Gia Lai	('13.998599', '107.996482')	19.42	98	2.78	1006	06/07/2021 03:00	15	1	2	15	4	5	15
Gia Lai	('13.998599', '107.996482')	21.23	96	2.77	1006	06/07/2021 18:00	15	4	8	8	15	15	14
Gia Lai	('13.998599', '107.996482')	22.42	95	2.52	1004	06/07/2021 17:00	14	3	7	10	14	14	14
Gia Lai	('13.998599', '107.996482')	23.06	87	2.14	1010	08/07/2021 06:00	15	2	7	7	6	7	15
Gia Lai	('13.998599', '107.996482')	21.16	89	1.30	1011	08/07/2021 05:00	15	1	5	8	5	6	15
Gia Lai	('13.998599', '107.996482')	20.50	92	1.78	1011	08/07/2021 04:00	15	1	3	10	5	6	15
Gia Lai	('13.998599', '107.996482')	19.41	95	2.14	1009	08/07/2021 03:00	15	1	3	10	6	8	15
Gia Lai	('13.998599', '107.996482')	19.36	97	1.54	1010	08/07/2021 02:00	15	1	2	10	8	9	15
Gia Lai	('13.998599', '107.996482')	19.01	96	1.04	1010	08/07/2021 01:00	15	1	2	11	8	11	15
