Tỉnh	Vị trí	Nhiệt độ	Độ ẩm	Tốc độ gió	Áp suất	Ngày giờ	VN_AQI	PM-10	PM-2-5
Tp. Hồ Chí Minh	('10.65961', '106.727916')	29.01	84	2.59	1007	04/07/2021 07:00	34	34	22
Tp. Hồ Chí Minh	('10.65961', '106.727916')	27.01	80	3.39	1005	04/07/2021 06:00	49	49	25
Tp. Hồ Chí Minh	('10.65961', '106.727916')	28.01	76	4.09	1007	04/07/2021 05:00	55	55	27
Tp. Hồ Chí Minh	('10.65961', '106.727916')	28.01	74	3.59	1006	04/07/2021 04:00	40	40	21
Tp. Hồ Chí Minh	('10.65961', '106.727916')	27.01	76	3.59	1006	04/07/2021 03:00	47	47	21
Tp. Hồ Chí Minh	('10.65961', '106.727916')	27.01	74	4.19	1005	04/07/2021 02:00	44	44	19
Tp. Hồ Chí Minh	('10.65961', '106.727916')	30.01	100	2.06	1005	05/07/2021 14:00	13	13	10
Tp. Hồ Chí Minh	('10.65961', '106.727916')	28.01	100	1.57	1004	05/07/2021 13:00	18	18	14
Tp. Hồ Chí Minh	('10.65961', '106.727916')	28.01	93	3.12	1004	06/07/2021 07:00	54	54	50
Tp. Hồ Chí Minh	('10.65961', '106.727916')	27.01	95	2.54	1004	06/07/2021 06:00	55	55	45
Tp. Hồ Chí Minh	('10.65961', '106.727916')	26.01	100	1.66	1004	06/07/2021 05:00	53	53	36
Tp. Hồ Chí Minh	('10.65961', '106.727916')	26.01	100	0.51	1004	06/07/2021 04:00	42	42	25
Tp. Hồ Chí Minh	('10.65961', '106.727916')	25.01	100	1.12	1004	06/07/2021 03:00	46	46	29
Tp. Hồ Chí Minh	('10.65961', '106.727916')	27.01	89	1.54	1006	06/07/2021 18:00	11	11	7
Tp. Hồ Chí Minh	('10.65961', '106.727916')	27.01	85	3.56	1004	06/07/2021 17:00	10	10	6
