Tỉnh	Vị trí	Nhiệt độ	Độ ẩm	Tốc độ gió	Áp suất	Ngày giờ	VN_AQI	CO	NO2	O3	PM-10	PM-2-5	SO2
Hà Nội	('21.0491', '105.8831')	32.01	64	1.32	1003	04/07/2021 07:00	28	8	11	28	14	19	8
Hà Nội	('21.0491', '105.8831')	31.51	68	2.02	1002	04/07/2021 06:00	23	6	11	22	17	23	8
Hà Nội	('21.0491', '105.8831')	30.01	68	3.62	1002	04/07/2021 05:00	22	3	11	14	17	22	8
Hà Nội	('21.0491', '105.8831')	29.91	71	3.32	1003	04/07/2021 04:00	19	3	11	14	14	19	8
Hà Nội	('21.0491', '105.8831')	29.31	72	4.52	1002	04/07/2021 03:00	16	2	11	14	13	16	8
Hà Nội	('21.0491', '105.8831')	29.01	72	4.52	1003	04/07/2021 02:00	15	2	11	15	13	15	8
Hà Nội	('21.0491', '105.8831')	31.52	50	5.02	1003	05/07/2021 14:00	15	5	11	15	6	8	8
Hà Nội	('21.0491', '105.8831')	28.01	49	3.85	1001	05/07/2021 13:00	12	7	11	12	7	9	8
Hà Nội	('21.0491', '105.8831')	30.01	65	3.67	1002	06/07/2021 07:00	34	15	11	29	24	34	8
Hà Nội	('21.0491', '105.8831')	29.01	70	3.85	1003	06/07/2021 06:00	30	15	11	26	20	30	8
Hà Nội	('21.0491', '105.8831')	29.01	73	2.14	1005	06/07/2021 05:00	29	7	11	27	20	29	8
Hà Nội	('21.0491', '105.8831')	28.01	75	3.11	1005	06/07/2021 04:00	29	5	11	27	20	29	8
Hà Nội	('21.0491', '105.8831')	28.01	79	3.85	1004	06/07/2021 03:00	27	5	11	26	19	27	8
Hà Nội	('21.0491', '105.8831')	33.01	61	5.8	1002	06/07/2021 18:00	12	11	11	12	9	8	8
Hà Nội	('21.0491', '105.8831')	34.01	54	3.85	1003	06/07/2021 17:00	18	10	11	18	11	9	8
