Tỉnh	Vị trí	Nhiệt độ	Độ ẩm	Tốc độ gió	Áp suất	Ngày giờ	VN_AQI	CO	NO2	O3	PM-10	PM-2-5	SO2
Hưng Yên	('20.661683', '106.058761')	32.05	64	2.88	1002	04/07/2021 07:00	5	0	3	5	2	2	0
Hưng Yên	('20.661683', '106.058761')	30.96	68	3.11	1002	04/07/2021 06:00	6	0	3	6	2	2	0
Hưng Yên	('20.661683', '106.058761')	30.15	70	3.52	1003	04/07/2021 05:00	6	0	3	6	2	2	0
Hưng Yên	('20.661683', '106.058761')	30.01	73	4.15	1004	04/07/2021 04:00	7	0	3	7	2	2	0
Hưng Yên	('20.661683', '106.058761')	29.03	72	3.68	1002	04/07/2021 03:00	7	0	3	7	2	2	0
Hưng Yên	('20.661683', '106.058761')	29.56	74	4.83	1002	04/07/2021 02:00	8	0	3	8	2	2	0
Hưng Yên	('20.661683', '106.058761')	27.85	50	5.83	1002	05/07/2021 14:00	11	0	1	9	11	3	0
Hưng Yên	('20.661683', '106.058761')	31.56	52	5.90	1002	05/07/2021 13:00	9	0	3	9	5	2	0
Hưng Yên	('20.661683', '106.058761')	31.56	62	3.54	1003	06/07/2021 07:00	5	0	4	5	2	3	0
Hưng Yên	('20.661683', '106.058761')	30.56	66	2.12	1005	06/07/2021 06:00	10	0	10	1	3	4	0
Hưng Yên	('20.661683', '106.058761')	29.56	69	2.75	1004	06/07/2021 05:00	8	0	8	1	3	4	0
Hưng Yên	('20.661683', '106.058761')	29.56	73	2.90	1004	06/07/2021 04:00	8	0	8	2	3	4	0
Hưng Yên	('20.661683', '106.058761')	28.56	76	3.54	1005	06/07/2021 03:00	6	0	6	2	2	3	0
