Tỉnh	Vị trí	Nhiệt độ	Độ ẩm	Tốc độ gió	Áp suất	Ngày giờ	VN_AQI	PM-10	PM-2-5
Nghệ An	('18.675369', '105.690945')	31.86	66	1.70	1003	04/07/2021 07:00	29	29	17
Nghệ An	('18.675369', '105.690945')	30.44	68	1.62	1004	04/07/2021 06:00	20	20	14
Nghệ An	('18.675369', '105.690945')	29.18	70	1.62	1002	04/07/2021 05:00	15	15	12
Nghệ An	('18.675369', '105.690945')	28.23	73	1.43	1005	04/07/2021 04:00	14	14	9
Nghệ An	('18.675369', '105.690945')	27.16	75	1.83	1003	04/07/2021 03:00	12	12	7
Nghệ An	('18.675369', '105.690945')	26.02	76	2.02	1004	04/07/2021 02:00	11	11	7
Nghệ An	('18.675369', '105.690945')	32.43	63	3.75	1001	05/07/2021 14:00	21	21	18
Nghệ An	('18.675369', '105.690945')	31.55	65	4.86	1001	05/07/2021 13:00	24	24	21
Nghệ An	('18.675369', '105.690945')	28.74	78	2.01	1001	06/07/2021 07:00	22	22	21
Nghệ An	('18.675369', '105.690945')	28.12	80	1.77	1001	06/07/2021 06:00	23	21	23
Nghệ An	('18.675369', '105.690945')	27.55	81	1.83	1001	06/07/2021 05:00	19	16	19
Nghệ An	('18.675369', '105.690945')	25.67	83	1.32	1001	06/07/2021 04:00	13	13	13
Nghệ An	('18.675369', '105.690945')	26.53	85	1.56	1001	06/07/2021 03:00	14	13	14
Nghệ An	('18.675369', '105.690945')	28.94	78	2.51	1002	06/07/2021 18:00	15	15	13
Nghệ An	('18.675369', '105.690945')	29.41	72	2.68	1001	06/07/2021 17:00	12	12	11
