Tỉnh	Vị trí	Nhiệt độ	Độ ẩm	Tốc độ gió	Áp suất	Ngày giờ	VN_AQI	PM-10	PM-2-5
Nghệ An	('18.675369', '105.690945')	28.45	68	1.04	1002	04/07/2021 00:00	11	11	7
Nghệ An	('18.675369', '105.690945')	28.15	67	1.23	1002	04/07/2021 01:00	10	10	6
Nghệ An	('18.675369', '105.690945')	28.26	77	1.2	1003	05/07/2021 00:00	18	18	13
Nghệ An	('18.675369', '105.690945')	28.03	79	0.74	1003	05/07/2021 01:00	17	17	14
Nghệ An	('18.675369', '105.690945')	27.77	79	0.66	1003	05/07/2021 02:00	17	17	15
Nghệ An	('18.675369', '105.690945')	27.56	80	0.92	1003	05/07/2021 03:00	16	16	15
Nghệ An	('18.675369', '105.690945')	27.3	80	1.23	1004	05/07/2021 04:00	17	17	16
Nghệ An	('18.675369', '105.690945')	27.51	81	1.66	1004	05/07/2021 05:00	17	17	16
Nghệ An	('18.675369', '105.690945')	29.55	73	1.66	1005	05/07/2021 06:00	19	19	17
Nghệ An	('18.675369', '105.690945')	28.77	77	1.66	1005	05/07/2021 07:00	28	28	22
Nghệ An	('18.675369', '105.690945')	30.4	69	1.33	1005	05/07/2021 08:00	31	31	25
Nghệ An	('18.675369', '105.690945')	31.81	65	1.16	1005	05/07/2021 09:00	34	34	28
Nghệ An	('18.675369', '105.690945')	27.32	87	1.46	1004	06/07/2021 00:00	17	17	17
Nghệ An	('18.675369', '105.690945')	27.58	85	1.04	1004	06/07/2021 01:00	15	15	15
Nghệ An	('18.675369', '105.690945')	27.16	86	1.13	1003	06/07/2021 02:00	14	13	14
Nghệ An	('18.675369', '105.690945')	29.91	74	1.78	1005	06/07/2021 08:00	28	28	24


