Tỉnh	Vị trí	Nhiệt độ	Độ ẩm	Tốc độ gió	Áp suất	Ngày giờ	VN_AQI	CO	NO2	O3	PM-10	PM-2-5	SO2	Miền
Gia Lai	('13.998599', '107.996482')	28.77	57	2.72	1010	03/07/2021 08:00	50	4.0	10.0	5.0	36.0	50.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	35.0	49	0.51	1007	03/07/2021 08:00	43	10.0	10.0	13.0	34.0	43.0	40.0	2
Cao Bằng	('22.6782', '106.245')	29.54	80	0.63	1004	03/07/2021 08:00	74		0.0	1.0	57.0	74.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	31.92	65	1.54	1003	03/07/2021 08:00	30		9.0	10.0	17.0	30.0		1
Thái Nguyên	('21.593151', '105.8431043')	31.88	67	0.77	1003	03/07/2021 08:00	45	6.0	15.0		43.0	45.0	15.0	1
Hà Nội	('21.0491', '105.8831')	32.01	50	2.03	1003	03/07/2021 08:00	17	10.0	11.0	17.0	13.0	11.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	32.06	50	1.83	1003	03/07/2021 08:00	107	3.0	17.0	10.0	70.0	107.0	34.0	1
Quảng Ninh	('21.006517', '107.344252')	32.06	50	1.83	1003	03/07/2021 07:00	59	9.0		20.0	1.0	3.0	59.0	1
Gia Lai	('13.998599', '107.996482')	30.63	50	3.31	1009	03/07/2021 09:00	13	7.0	11.0	8.0	13.0	9.0	8.0	2
Ðà Nẵng	('16.074', '108.217')	37.0	41	0.51	1006	03/07/2021 09:00	52	8.0	11.0	25.0	34.0	40.0	52.0	2
Cao Bằng	('22.6782', '106.245')	29.77	79	0.75	1004	03/07/2021 09:00	76		0.0	1.0	64.0	76.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	32.92	59	1.81	1003	03/07/2021 09:00	29		7.0	16.0	16.0	29.0		1
Thái Nguyên	('21.593151', '105.8431043')	32.88	59	0.34	1003	03/07/2021 09:00	56	7.0	15.0		50.0	56.0	11.0	1
Hà Nội	('21.0491', '105.8831')	33.01	45	2.93	1002	03/07/2021 09:00	13	7.0	11.0	8.0	13.0	9.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	33.06	44	3.05	1002	03/07/2021 09:00	91	3.0	16.0	13.0	73.0	91.0	38.0	1
Quảng Ninh	('21.006517', '107.344252')	33.06	44	3.05	1002	03/07/2021 08:00	58	9.0		20.0	1.0	3.0	58.0	1
Gia Lai	('13.998599', '107.996482')	32.29	44	3.57	1008	03/07/2021 10:00	31	3.0	7.0	9.0	25.0	31.0	13.0	2
Ðà Nẵng	('16.074', '108.217')	37.0	39	1.03	1005	03/07/2021 10:00	42	4.0	10.0	20.0	31.0	32.0	42.0	2
Cao Bằng	('22.6782', '106.245')	29.71	79	1.02	1004	03/07/2021 10:00	76		0.0	1.0	64.0	76.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	33.92	53	2.03	1002	03/07/2021 10:00	28		13.0	18.0	16.0	28.0		1
Thái Nguyên	('21.593151', '105.8431043')	33.88	53	1.15	1002	03/07/2021 10:00	75	7.0	13.0		57.0	75.0	12.0	1
Hà Nội	('21.0491', '105.8831')	34.01	42	3.61	1002	03/07/2021 10:00	14	6.0	11.0	9.0	14.0	11.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	34.06	41	3.94	1002	03/07/2021 10:00	74	2.0	8.0	13.0	74.0	69.0	39.0	1
Quảng Ninh	('21.006517', '107.344252')	34.06	41	3.94	1002	03/07/2021 09:00	60	9.0		20.0	1.0	2.0	60.0	1
Gia Lai	('13.998599', '107.996482')	33.44	40	3.81	1007	03/07/2021 11:00	25	2.0	6.0	9.0	21.0	25.0	13.0	2
Ðà Nẵng	('16.074', '108.217')	38.0	39	2.57	1005	03/07/2021 11:00	36	3.0	11.0	23.0	28.0	26.0	36.0	2
Cao Bằng	('22.6782', '106.245')	30.68	75	1.26	1003	03/07/2021 11:00	77		0.0	1.0	70.0	77.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	33.92	48	1.99	1002	03/07/2021 11:00	26		8.0	22.0	14.0	26.0		1
